id,name,phone,category,city,url_path,full_url
868,"יצחק בם, עו""ד (LLM, Harvard)",0547546790,עורך דין,ירושלים,/l/llm-harvard-868/,https://leads-landing-v2.pages.dev/l/llm-harvard-868/?utm_source=wa&utm_lead=868
880,"מרפאת שיניים ד""ר דניאל אילייזרוב",0544475950,מרפאת שיניים,פתח תקווה,/l/880/,https://leads-landing-v2.pages.dev/l/880/?utm_source=wa&utm_lead=880
1332,Larimar Clinic - נתניה,0548971545,קוסמטיקאית,נתניה,/l/larimar-clinic-1332/,https://leads-landing-v2.pages.dev/l/larimar-clinic-1332/?utm_source=wa&utm_lead=1332
1666,שיפוצים בנועם,0507330339,קבלן,תל אביב,/l/1666/,https://leads-landing-v2.pages.dev/l/1666/?utm_source=wa&utm_lead=1666
2012,דר' לילך בוגצ'יק חלפון,0548662232,מרפאת שיניים,רמת גן,/l/2012/,https://leads-landing-v2.pages.dev/l/2012/?utm_source=wa&utm_lead=2012
2362,Studio by Michael - Hair Salon רמת גן,0546791189,מספרה,רמת גן,/l/studio-by-michael-hair-salon-2362/,https://leads-landing-v2.pages.dev/l/studio-by-michael-hair-salon-2362/?utm_source=wa&utm_lead=2362
2761,"מוסך שי קנדל בע""מ",0504888660,מוסך,ראשון לציון,/l/2761/,https://leads-landing-v2.pages.dev/l/2761/?utm_source=wa&utm_lead=2761
1812,חשמלאי | הנדימן | חשמלאי בחיפה | חשמלאים |מתן Handyman,0545666895,חשמלאי,חיפה,/l/handyman-1812/,https://leads-landing-v2.pages.dev/l/handyman-1812/?utm_source=wa&utm_lead=1812
1819,חשמלאי מוסמך בחיפה אלקטריק יוני חשמלאי מוסמך חיפה,0504251227,חשמלאי,חיפה,/l/1819/,https://leads-landing-v2.pages.dev/l/1819/?utm_source=wa&utm_lead=1819
1860,"עורך דין ונוטריון גילי קרמר דיני תעבורה,תאונות דרכים, שכרות, נקודות, מהירות.",0547802058,עורך דין,פתח תקווה,/l/1860/,https://leads-landing-v2.pages.dev/l/1860/?utm_source=wa&utm_lead=1860
919,לק ג'ל ברמת גן,0503304443,סלון מניקור ופדיקור,רמת גן,/l/919/,https://leads-landing-v2.pages.dev/l/919/?utm_source=wa&utm_lead=919
994,אינסטלטור אורן שילוני,0525606464,שרברב,הרצליה,/l/994/,https://leads-landing-v2.pages.dev/l/994/?utm_source=wa&utm_lead=994
1210,Revolution studio - רבולושן סטודיו פתח תקווה,0548864440,מספרה,פתח תקווה,/l/revolution-studio-1210/,https://leads-landing-v2.pages.dev/l/revolution-studio-1210/?utm_source=wa&utm_lead=1210
1219,נתנאל הספר,0537177712,מספרה,פתח תקווה,/l/1219/,https://leads-landing-v2.pages.dev/l/1219/?utm_source=wa&utm_lead=1219
1261,סיזר עיצוב שיער caesar hairstyle,0528784871,מספרה,רמת גן,/l/caesar-hairstyle-1261/,https://leads-landing-v2.pages.dev/l/caesar-hairstyle-1261/?utm_source=wa&utm_lead=1261
1288,הקומה של אהובה,0522533296,מכון יופי,תל אביב,/l/1288/,https://leads-landing-v2.pages.dev/l/1288/?utm_source=wa&utm_lead=1288
1297,קליניקת ויקה קוסמטיקה מתקדמת | קוסמטיקאית רפואית,0543355140,מכון יופי,תל אביב,/l/1297/,https://leads-landing-v2.pages.dev/l/1297/?utm_source=wa&utm_lead=1297
1391,ירון הרשברג מספרה יוצאת דופן,0507448229,מספרה,רמת גן,/l/1391/,https://leads-landing-v2.pages.dev/l/1391/?utm_source=wa&utm_lead=1391
1566,קפה קפה אגמים כשר למהדרין,0503393191,מסעדה,נתניה,/l/1566/,https://leads-landing-v2.pages.dev/l/1566/?utm_source=wa&utm_lead=1566
1626,פיצה קרנבלה pizza carnevale,0533645553,מסעדה,חולון,/l/pizza-carnevale-1626/,https://leads-landing-v2.pages.dev/l/pizza-carnevale-1626/?utm_source=wa&utm_lead=1626
1627,Bobo italian - בובו איטליאן,0505745344,מסעדה,חולון,/l/bobo-italian-1627/,https://leads-landing-v2.pages.dev/l/bobo-italian-1627/?utm_source=wa&utm_lead=1627
1632,הפלאפל של שייקה,0525145080,מסעדה,חולון,/l/1632/,https://leads-landing-v2.pages.dev/l/1632/?utm_source=wa&utm_lead=1632
1633,צנטרו - הבוריק של צ'ונה,0537300777,מסעדת מזון לנשמה,חולון,/l/1633/,https://leads-landing-v2.pages.dev/l/1633/?utm_source=wa&utm_lead=1633
1653,קפיטריה,0544822287,בית קפה,הרצליה,/l/1653/,https://leads-landing-v2.pages.dev/l/1653/?utm_source=wa&utm_lead=1653
1738,אינסטלטור בחולון,0508327374,שרברב,חולון,/l/1738/,https://leads-landing-v2.pages.dev/l/1738/?utm_source=wa&utm_lead=1738
2083,"MFC מכונאות כללית , מוסך , חשמלאות ומזגנים",0542234064,מוסך,פתח תקווה,/l/mfc-2083/,https://leads-landing-v2.pages.dev/l/mfc-2083/?utm_source=wa&utm_lead=2083
2105,מוסך אהרון כהן שירותי רכב,0506780700,מכונאי,ראשון לציון,/l/2105/,https://leads-landing-v2.pages.dev/l/2105/?utm_source=wa&utm_lead=2105
2164,אוטו בני ברק,0547272300,מוסך,רמת גן,/l/2164/,https://leads-landing-v2.pages.dev/l/2164/?utm_source=wa&utm_lead=2164
2395,"ויטליטי-עיסוי רפואי, רקמות עמוק במרכז",0547564440,מעסה,הרצליה,/l/2395/,https://leads-landing-v2.pages.dev/l/2395/?utm_source=wa&utm_lead=2395
1816,חשמלאי בקריות וחיפה מומלץ,0505357700,חשמלאי,חיפה,/l/1816/,https://leads-landing-v2.pages.dev/l/1816/?utm_source=wa&utm_lead=1816
1263,Lk barbershop - מספרת גברים,0507377333,מספרה,רמת גן,/l/lk-barbershop-1263/,https://leads-landing-v2.pages.dev/l/lk-barbershop-1263/?utm_source=wa&utm_lead=1263
1863,סיון סופר עורכת דין,0523271789,עורך דין,פתח תקווה,/l/1863/,https://leads-landing-v2.pages.dev/l/1863/?utm_source=wa&utm_lead=1863
1874,ברק זך עורכי דין וגישור,0503040005,עורך דין,פתח תקווה,/l/1874/,https://leads-landing-v2.pages.dev/l/1874/?utm_source=wa&utm_lead=1874
1825,טכנאי מזגנים בחיפה | חשמלאי בחיפה | מיזוג אוויר בחיפה - ניקיטה חשמל ומיזוג,0534366295,מזגן,חיפה,/l/1825/,https://leads-landing-v2.pages.dev/l/1825/?utm_source=wa&utm_lead=1825
1264,גמילי מספרה בבורסה רמת גן - ספר גברים בבורסה,0554557689,מספרה,רמת גן,/l/1264/,https://leads-landing-v2.pages.dev/l/1264/?utm_source=wa&utm_lead=1264
